ecole,filiere,prompt_programme
Lycee Professionnel Hotelier d'Abidjan (LPHA Riviera),enseignement technique et professionnel,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Proviseur de Lycée Professionnel Hôtelier d'Abidjan, établissement situé à Abidjan Cocody Riviera Golf qui forme des élèves en enseignement technique et professionnel.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque élève, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses élèves rendent déjà un exposé ou un dossier de projet écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque élève manipule sur son propre téléphone, les cas d'usage propres à enseignement technique et professionnel, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour des élèves de l'enseignement technique, la séance reste très concrète : ils manipulent eux-mêmes, sur leur téléphone, et repartent avec des règles d'usage simples qu'ils peuvent appliquer dès le devoir suivant.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les élèves utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
AGEFOP - Agence Nationale de la Formation Professionnelle,formation professionnelle,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de AGEFOP, établissement situé à Abidjan Marcory Zone 4 qui forme des apprenants en formation professionnelle.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque apprenant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses apprenants rendent déjà un projet de fin de formation ou un rapport de stage écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque apprenant manipule sur son propre téléphone, les cas d'usage propres à formation professionnelle, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour des apprenants en formation professionnelle, l'angle est l'employabilité immédiate : se servir de l'IA dans le métier visé, et savoir le dire en entretien sans se faire piéger.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les apprenants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Ecole Superieure des Affaires et de Management (ESAM),filières tertiaires et techniques,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de École Supérieure des Affaires et de Management, établissement situé à Abidjan Treichville Zone 2 qui forme des étudiants en filières tertiaires et techniques.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un exposé ou un rapport de stage écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à filières tertiaires et techniques, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. La séance s'adapte à la filière de chaque groupe : les cas d'usage montrés à une classe de gestion ne sont pas ceux d'une classe technique.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
ARSTM Academie Regionale des Sciences et Techniques de la Mer,"logistique, transport et transit","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de ARSTM Académie Régionale des Sciences et Techniques de la Mer, établissement situé à Abidjan Yopougon qui forme des étudiants en logistique, transport et transit.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà une étude de cas transport ou un rapport de stage écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à logistique, transport et transit, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour vos filières logistique et transit, la séance descend au concret : préparer une cotation, une étude de flux ou un dossier client avec l'IA, et repérer les erreurs qu'elle commet sur les chiffres et les incoterms.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
CFOMIS,santé et paramédical,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de CFOMIS, établissement situé à Abidjan Yopougon qui forme des étudiants en santé et paramédical.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un mémoire de fin de cycle ou un rapport de stage clinique écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à santé et paramédical, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Dans une filière de santé, la limite est capitale et la séance la traite explicitement : une information clinique produite par une intelligence artificielle se vérifie toujours avant d'être reprise dans un travail ou appliquée à un patient.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
ESCG La Sorbonne - Groupe La Sorbonne,filières tertiaires et techniques,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de ESCG La Sorbonne, établissement situé à Abidjan Yopougon qui forme des étudiants en filières tertiaires et techniques.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un exposé ou un rapport de stage écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à filières tertiaires et techniques, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. La séance s'adapte à la filière de chaque groupe : les cas d'usage montrés à une classe de gestion ne sont pas ceux d'une classe technique.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Groupe ETP-ESMIT,"logistique, transport et transit","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de Groupe ETP-ESMIT, établissement situé à Abidjan Yopougon qui forme des étudiants en logistique, transport et transit.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà une étude de cas transport ou un rapport de stage écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à logistique, transport et transit, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour vos filières logistique et transit, la séance descend au concret : préparer une cotation, une étude de flux ou un dossier client avec l'IA, et repérer les erreurs qu'elle commet sur les chiffres et les incoterms.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
IMGH Institut de Management de Gestion et d Hotellerie,"hôtellerie, restauration et tourisme","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de IMGH Institut de Management de Gestion et d Hôtellerie, établissement situé à Abidjan Yopougon qui forme des étudiants en hôtellerie, restauration et tourisme.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un rapport de stage ou un projet d'établissement écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à hôtellerie, restauration et tourisme, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour vos filières hôtellerie et tourisme, la séance traite les usages qui servent dès le premier stage : réponse aux avis clients, supports d'accueil, communication d'établissement, préparation d'une carte.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Lycee Professionnel Commercial de Yopougon (LPCY),enseignement technique et professionnel,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Proviseur de Lycée Professionnel Commercial de Yopougon, établissement situé à Abidjan Yopougon qui forme des élèves en enseignement technique et professionnel.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque élève, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses élèves rendent déjà un exposé ou un dossier de projet écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque élève manipule sur son propre téléphone, les cas d'usage propres à enseignement technique et professionnel, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour des élèves de l'enseignement technique, la séance reste très concrète : ils manipulent eux-mêmes, sur leur téléphone, et repartent avec des règles d'usage simples qu'ils peuvent appliquer dès le devoir suivant.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les élèves utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Universite Alassane Ouattara (UAO),filières universitaires,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de Université Alassane Ouattara, établissement situé à Bouake qui forme des étudiants en filières universitaires.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un exposé, un rapport de stage ou un mémoire écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à filières universitaires, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. La séance s'adapte à la filière de chaque groupe : les cas d'usage montrés à des étudiants de gestion ne sont pas ceux d'étudiants de sciences ou de droit.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
IFED - Institut de Formation et d'Education de Daloa,formation professionnelle,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de IFED, établissement situé à Daloa qui forme des apprenants en formation professionnelle.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque apprenant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses apprenants rendent déjà un projet de fin de formation ou un rapport de stage écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque apprenant manipule sur son propre téléphone, les cas d'usage propres à formation professionnelle, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour des apprenants en formation professionnelle, l'angle est l'employabilité immédiate : se servir de l'IA dans le métier visé, et savoir le dire en entretien sans se faire piéger.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les apprenants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Universite Jean Lorougnon Guede (UJLoG),filières universitaires,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de Université Jean Lorougnon Guédé, établissement situé à Daloa qui forme des étudiants en filières universitaires.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un exposé, un rapport de stage ou un mémoire écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à filières universitaires, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. La séance s'adapte à la filière de chaque groupe : les cas d'usage montrés à des étudiants de gestion ne sont pas ceux d'étudiants de sciences ou de droit.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Ecole Hoteliere de Grand-Bassam EHB,"hôtellerie, restauration et tourisme","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de École Hôtelière de Grand-Bassam EHB, établissement situé à Grand-Bassam qui forme des étudiants en hôtellerie, restauration et tourisme.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un rapport de stage ou un projet d'établissement écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à hôtellerie, restauration et tourisme, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour vos filières hôtellerie et tourisme, la séance traite les usages qui servent dès le premier stage : réponse aux avis clients, supports d'accueil, communication d'établissement, préparation d'une carte.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
IIT - Institut Ivoirien de Technologie,"informatique, réseaux et numérique","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de IIT, établissement situé à Grand-Bassam qui forme des étudiants en informatique, réseaux et numérique.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un rapport de projet ou une documentation technique écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à informatique, réseaux et numérique, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Vos étudiants du numérique sont les plus exposés : beaucoup produisent déjà du code écrit par une IA. La séance porte précisément là-dessus — livrer du code que l'on est capable de relire, d'expliquer et de défendre devant un jury ou un employeur, et non l'inverse.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Universite Internationale de Grand-Bassam (UIGB/IUGB),filières universitaires,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de Université Internationale de Grand-Bassam, établissement situé à Grand-Bassam (+ bureau Abidjan Deux Plateaux) qui forme des étudiants en filières universitaires.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un exposé, un rapport de stage ou un mémoire écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à filières universitaires, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. La séance s'adapte à la filière de chaque groupe : les cas d'usage montrés à des étudiants de gestion ne sont pas ceux d'étudiants de sciences ou de droit.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
ISACM - Institut Superieur des Arts et du Commerce Management,filières tertiaires et techniques,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de ISACM, établissement situé à Korhogo qui forme des étudiants en filières tertiaires et techniques.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un exposé ou un rapport de stage écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à filières tertiaires et techniques, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. La séance s'adapte à la filière de chaque groupe : les cas d'usage montrés à une classe de gestion ne sont pas ceux d'une classe technique.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Universite Peleforo Gon Coulibaly (UPGC),filières universitaires,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de Université Peleforo Gon Coulibaly, établissement situé à Korhogo qui forme des étudiants en filières universitaires.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un exposé, un rapport de stage ou un mémoire écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à filières universitaires, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. La séance s'adapte à la filière de chaque groupe : les cas d'usage montrés à des étudiants de gestion ne sont pas ceux d'étudiants de sciences ou de droit.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
